aeid,citation_id
1,209
1,210
2,209
2,210
3,225
4,225
5,225
6,225
7,225
8,225
9,225
10,225
11,225
12,225
13,225
14,225
15,225
16,225
17,225
18,225
19,225
20,225
21,225
22,225
23,225
24,225
25,225
26,225
27,225
28,225
29,225
30,225
31,225
32,225
33,225
34,225
35,225
36,225
37,225
38,225
39,225
40,225
41,225
42,225
43,225
44,225
45,225
46,225
47,225
48,225
49,225
50,225
51,225
52,225
53,225
54,225
55,225
56,225
57,225
58,225
59,225
60,225
61,225
62,225
63,211
63,212
1400,211
1400,212
64,211
64,212
1401,211
1401,212
65,211
65,212
1402,211
1402,212
66,211
66,212
1404,211
1404,212
67,211
67,212
1410,211
1410,212
68,211
68,212
1406,211
1406,212
69,211
69,212
1409,211
1409,212
70,211
70,212
1412,211
1412,212
71,211
71,212
1413,211
1413,212
72,211
72,212
1424,211
1424,212
73,211
73,212
1414,211
1414,212
74,211
74,212
1416,211
1416,212
75,211
75,212
1419,211
1419,212
76,211
76,212
1423,211
1423,212
77,211
77,212
1425,211
1425,212
78,211
78,212
1426,211
1426,212
79,211
79,212
1429,211
1429,212
80,211
80,212
1431,211
1431,212
81,211
81,212
1432,211
1432,212
82,211
82,212
1434,211
1434,212
83,211
83,212
1437,211
1437,212
84,211
84,212
1439,211
1439,212
85,211
85,212
1440,211
1440,212
86,211
86,212
1441,211
1441,212
87,211
87,212
1449,211
1449,212
88,211
88,212
1451,211
1451,212
89,211
89,212
1453,211
1453,212
90,211
90,212
1455,211
1455,212
91,211
91,212
1445,211
1445,212
92,211
92,212
1447,211
1447,212
93,211
93,212
1448,211
1448,212
94,211
94,212
1458,211
1458,212
95,211
95,212
1457,211
1457,212
96,211
96,212
1460,211
1460,212
97,211
97,212
1461,211
1461,212
98,211
98,212
1464,211
1464,212
99,211
99,212
1465,211
1465,212
100,211
100,212
1466,211
1466,212
101,211
101,212
1467,211
1467,212
102,211
102,212
1472,211
1472,212
103,211
103,212
1474,211
1474,212
104,211
104,212
1483,211
1483,212
105,211
105,212
1490,211
1490,212
106,211
106,212
1491,211
1491,212
107,211
107,212
